round_epochs,val_loss,loss,dropout1,dropout2,epochs,units1,units2,lr
7,0.21117443138477848,0.17405111897114167,0.0,0.0,7,38,13,2.75
6,0.23259875804900085,0.21333173505899286,0.0,0.0,6,20,10,4.55
1,0.32609315424313473,0.6001007409712402,0.0,0.0,1,40,23,1.4
5,0.2161429514682371,0.18140909170347547,0.0,0.0,5,42,20,2.3
16,0.20919627431690824,0.1501382834840667,0.0,0.0,16,25,20,3.6499999999999995
17,0.2059319432914127,0.12980249975603614,0.0,0.0,17,49,13,4.1
12,0.2080994474991734,0.15152931931306,0.0,0.0,12,37,20,0.95
19,0.2076687208967271,0.11941743902966422,0.0,0.0,19,38,23,0.95
9,0.2130478575403654,0.16735032968132657,0.0,0.0,9,41,10,3.1999999999999997
19,0.21080278434784583,0.13723977942482318,0.0,0.0,19,32,17,1.8499999999999999
3,0.24611642434056807,0.24654721429034107,0.0,0.0,3,47,11,1.8499999999999999
16,0.21037384445630908,0.12822722098907502,0.0,0.0,16,44,14,4.55
7,0.2138405481195138,0.17697214801994915,0.0,0.0,7,44,19,0.95
2,0.2850535372698229,0.30896335436739064,0.0,0.0,2,42,14,1.4
16,0.2135269596426056,0.14248366644875565,0.0,0.0,16,31,21,4.55
14,0.20713881300944909,0.1309353023572685,0.0,0.0,14,49,24,2.75
18,0.2065923390565095,0.13426004557493798,0.0,0.0,18,31,24,4.1
6,0.21826317584982105,0.188978101971214,0.0,0.0,6,40,11,4.1
14,0.2112555439565696,0.1444142524963445,0.0,0.0,14,36,16,0.5
17,0.20595270460207737,0.14133456256153648,0.0,0.0,17,32,24,4.55
14,0.20993260620466245,0.16028912884403232,0.0,0.0,14,34,19,2.75
16,0.21169397377760063,0.1401377808090463,0.0,0.0,16,34,18,0.95
10,0.21452718590079828,0.15372175609920763,0.0,0.0,10,39,17,1.4
3,0.24486796489728044,0.2478501429689142,0.0,0.0,3,35,20,3.1999999999999997
19,0.20835876062285147,0.1337849051455935,0.0,0.0,19,37,17,2.75
19,0.21363918307949514,0.13323093572306255,0.0,0.0,19,41,11,0.5
17,0.20809261757304207,0.14975344104454075,0.0,0.0,17,24,17,3.6499999999999995
1,0.4278636589029516,0.8197737214278106,0.0,0.0,1,47,14,0.5
11,0.21153166559007433,0.16263611318350507,0.0,0.0,11,39,15,2.3
9,0.2078113629277755,0.16365568842095377,0.0,0.0,9,36,16,1.4
16,0.20887545283583514,0.14178136931636642,0.0,0.0,16,40,21,0.95
12,0.21000902357963694,0.15048392601902522,0.0,0.0,12,48,24,3.1999999999999997
11,0.2092719172535379,0.14523646772519994,0.0,0.0,11,41,21,1.4
1,0.39524963816266695,0.7433205804014518,0.0,0.0,1,45,11,1.8499999999999999
4,0.23784697656408116,0.22962537119869425,0.0,0.0,4,24,23,2.75
10,0.2093419015797135,0.16762343124181284,0.0,0.0,10,27,24,0.5
16,0.21056853841852258,0.1331196049529186,0.0,0.0,16,38,18,0.95
13,0.20884520328382522,0.1503277532443279,0.0,0.0,13,28,24,2.75
3,0.2609698111779809,0.26947356208143225,0.0,0.0,3,45,21,2.75
12,0.21215112153481294,0.14413864800687376,0.0,0.0,12,48,19,2.3
6,0.2178286743514678,0.189870537690867,0.0,0.0,6,24,14,2.3
19,0.20999852894178403,0.13774034435870378,0.0,0.0,19,34,14,2.75
18,0.21292530522886705,0.15051745831354213,0.0,0.0,18,23,15,2.3
19,0.20839095310448041,0.13102774066723585,0.0,0.0,19,43,13,3.6499999999999995
6,0.21517923574951478,0.18794001060095378,0.0,0.0,6,47,21,0.5
10,0.20591778322762133,0.16670226296331703,0.0,0.0,10,24,13,1.4
19,0.20744944027825898,0.14130211449693453,0.0,0.0,19,29,14,0.95
8,0.20638119096589763,0.16471611640923053,0.0,0.0,8,31,24,4.55
14,0.20869325974668032,0.13968916320834174,0.0,0.0,14,34,17,1.4
7,0.21816297252063918,0.1837066295656726,0.0,0.0,7,33,16,4.1
8,0.21109017320707732,0.1686095851921345,0.0,0.0,8,48,13,3.1999999999999997
4,0.2398747832621884,0.2209353049735284,0.0,0.0,4,48,14,4.1
9,0.21083030546153034,0.15573972407954526,0.0,0.0,9,38,20,1.8499999999999999
16,0.2086758943424765,0.15334893583583564,0.0,0.0,16,29,15,1.8499999999999999
8,0.21870843614887828,0.18379319091192703,0.0,0.0,8,22,22,4.55
19,0.2089721042346331,0.13087663282644627,0.0,0.0,19,43,13,4.55
11,0.20486116039207558,0.15466498090328176,0.0,0.0,11,37,24,0.95
11,0.2098078476447685,0.14794044275911583,0.0,0.0,11,49,18,1.8499999999999999
11,0.21384844028092678,0.1607064655542819,0.0,0.0,11,35,23,2.3
18,0.20898590530705088,0.14959329948956226,0.0,0.0,18,22,21,4.1
14,0.2054028368203988,0.1546360933674929,0.0,0.0,14,24,20,2.75
17,0.205967994297252,0.13666711678079754,0.0,0.0,17,32,18,1.8499999999999999
3,0.27128654877474623,0.2871169362471106,0.0,0.0,3,21,10,1.4
5,0.22168647389136628,0.2008592340152582,0.0,0.0,5,27,11,0.95
2,0.2935186865737495,0.3262231622089525,0.0,0.0,2,37,14,2.75
12,0.2058838508487527,0.15032087651844006,0.0,0.0,12,46,18,4.1
8,0.20734834158082932,0.17736323750347427,0.0,0.0,8,27,16,3.6499999999999995
11,0.20697132311355573,0.14744369835913682,0.0,0.0,11,44,23,1.4
13,0.2075815219635018,0.1494399563911137,0.0,0.0,13,38,19,1.4
13,0.21048914314874637,0.13890307731265558,0.0,0.0,13,48,24,0.5
12,0.20971359302795012,0.1531211323514372,0.0,0.0,12,38,24,4.1
2,0.30169170504042264,0.3397584207474239,0.0,0.0,2,22,14,4.1
3,0.26398847351146937,0.2757382476084929,0.0,0.0,3,21,16,4.55
14,0.20742166925359656,0.15087115450176983,0.0,0.0,14,30,10,4.55
9,0.2093989016053983,0.1608465907349139,0.0,0.0,9,35,24,0.95
7,0.2129827910518854,0.16932492417280748,0.0,0.0,7,48,20,3.1999999999999997
12,0.20873896397796332,0.14546565284359467,0.0,0.0,12,33,24,4.55
5,0.2378800787307598,0.22590090641899715,0.0,0.0,5,38,18,0.5
9,0.21011841952930607,0.17022906196495843,0.0,0.0,9,31,12,4.55
13,0.20620549468563013,0.15054912818552288,0.0,0.0,13,25,22,3.6499999999999995
6,0.2165869112108268,0.1922741875706378,0.0,0.0,6,27,16,1.8499999999999999
12,0.20560918472431325,0.15533566246736172,0.0,0.0,12,29,19,3.6499999999999995
4,0.2257344997396656,0.20759745245498548,0.0,0.0,4,33,16,3.1999999999999997
7,0.21447335576439736,0.1634152545398023,0.0,0.0,7,43,13,4.55
11,0.20900680627957927,0.16041911353751057,0.0,0.0,11,46,11,3.6499999999999995
2,0.2877427394094031,0.30760140128496316,0.0,0.0,2,37,15,4.1
4,0.22227001277839437,0.19413402597276436,0.0,0.0,4,36,15,4.55
18,0.20776287006916302,0.13648358242017547,0.0,0.0,18,37,22,1.8499999999999999
9,0.208874254574703,0.16757204638921022,0.0,0.0,9,28,12,2.75
2,0.2796066665052069,0.29880374343065763,0.0,0.0,2,26,18,2.75
9,0.21076416712830529,0.16829086744846528,0.0,0.0,9,41,13,2.75
19,0.2133156685787608,0.12172366777499294,0.0,0.0,19,49,23,1.4
4,0.22823358585242354,0.21826192718538362,0.0,0.0,4,28,20,0.95
9,0.21368073125031,0.15897064004180367,0.0,0.0,9,34,23,4.1
14,0.20089879054129772,0.13568588925732505,0.0,0.0,14,46,24,1.8499999999999999
14,0.2073828153360903,0.13961779125153073,0.0,0.0,14,44,12,0.95
16,0.20803012586886588,0.13254932264765215,0.0,0.0,16,47,10,3.1999999999999997
2,0.3235292854781764,0.4024927049151767,0.0,0.0,2,32,12,0.5
18,0.2086687358116532,0.13550013039403713,0.0,0.0,18,48,12,4.55
1,0.44288255056784304,0.8341660087460341,0.0,0.0,1,26,15,3.1999999999999997
15,0.21239636374195156,0.14882720608949437,0.0,0.0,15,21,15,4.55
13,0.20614757640429313,0.14617745458634515,0.0,0.0,13,37,13,3.1999999999999997
11,0.21134841828434556,0.17292855280676697,0.0,0.0,11,26,12,1.4
18,0.2062642298362873,0.1459032388405751,0.0,0.0,18,22,11,4.55
7,0.21485429716525775,0.17736850507091295,0.0,0.0,7,29,12,2.3
16,0.20597327404811752,0.1462862452302549,0.0,0.0,16,26,10,4.1
10,0.21385095010395921,0.16231292963417526,0.0,0.0,10,45,11,2.3
11,0.20957633327035344,0.16405435837283522,0.0,0.0,11,34,11,1.8499999999999999
3,0.2574984732861093,0.2628271205195971,0.0,0.0,3,21,18,1.8499999999999999
2,0.32399706961282715,0.3753575509280161,0.0,0.0,2,22,15,0.95
9,0.21354570647210597,0.16198479206789107,0.0,0.0,9,26,17,2.3
4,0.2388481569186275,0.23396826270414667,0.0,0.0,4,28,16,3.1999999999999997
18,0.20750392152073596,0.15321180980607352,0.0,0.0,18,21,13,4.1
2,0.32037130491666027,0.3915828453615155,0.0,0.0,2,36,12,2.3
6,0.21723301367822037,0.17714098962693434,0.0,0.0,6,42,20,2.75
16,0.20860499422794335,0.14120127051985232,0.0,0.0,16,40,10,2.75
17,0.21188310970408206,0.12017902756939415,0.0,0.0,17,49,16,1.8499999999999999
5,0.2135585975023656,0.18250597821397274,0.0,0.0,5,45,17,0.5
9,0.21273535353685516,0.15412210401088472,0.0,0.0,9,48,16,4.1
5,0.21977807746993172,0.19276898446815466,0.0,0.0,5,40,23,4.1
8,0.2144450102821155,0.18449138302484702,0.0,0.0,8,23,12,3.1999999999999997
2,0.28365437085851863,0.3110581080035335,0.0,0.0,2,32,16,0.5
6,0.21130156140441728,0.17891579632665597,0.0,0.0,6,37,17,3.1999999999999997
14,0.2082206632836452,0.14998915934818688,0.0,0.0,14,35,18,3.6499999999999995
6,0.22145754751426722,0.1924580884775639,0.0,0.0,6,45,19,4.55
3,0.2610284585773555,0.2754094330341765,0.0,0.0,3,39,15,4.55
17,0.21087196248549003,0.138190472180269,0.0,0.0,17,29,15,2.75
6,0.22797636255979017,0.19907345563646348,0.0,0.0,6,23,21,3.6499999999999995
